;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Ávila;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cáceres;Cádiz;Cantabria;Castellón/Castelló;Ciudad Real;Córdoba;Coruña, A;Cuenca;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Málaga;Murcia;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ceuta;Melilla;
        Burgos;5.825031;149.131826;37.35022;497.118885;75.844301;21.317071;33.310512;77.457996;222.770165;522.734944;0.0;21.458518;29.147312;220.761611;23.342305;30.109867;30.161982;36.925877;12.430495;90.042437;14.443958;21.401762;27.085377;22.168192;12.58465;7.80576;104.117314;32.497122;13.441849;979.669205;72.681076;67.894335;89.95721;27.844324;117.730766;58.372275;45.838104;175.220843;56.46497;40.652959;61.825543;38.029539;100.218034;30.778431;1.940031;29.024049;86.071218;242.406829;20.503646;101.558963;4.829916;4.835533;
        Cáceres;27.988398;102.634737;44.298598;36.047476;55.630461;44.566598;633.892697;148.139501;266.025211;87.675865;31.999355;0.0;78.744465;32.209484;36.768779;60.120373;24.348865;34.197708;3.892262;86.49823;30.224291;65.095699;57.393347;69.696073;13.585331;24.132272;21.468625;17.541508;12.697108;1753.400387;86.680234;89.922537;71.467107;17.455909;11.697711;53.412387;31.947993;33.778497;289.58924;68.053673;16.582346;124.003026;8.633004;44.739298;5.803261;284.666018;105.939669;47.691314;18.556605;48.580329;5.896859;0.979719;
        Cádiz;27.175589;205.113413;194.713484;54.944233;88.392586;16.658373;162.448368;777.487772;744.992154;118.958785;51.418473;47.623591;0.0;61.469525;70.973323;39.98383;255.290909;278.566854;21.293368;88.653363;111.395388;371.458371;60.026498;289.358469;34.164449;149.040846;38.693026;30.99398;20.440073;2080.306577;1672.113175;322.045915;89.654363;12.70528;14.539218;572.915367;87.764118;32.036813;21.504325;265.544933;13.632053;1960.087153;5.830172;91.406096;13.690295;97.292138;247.638501;48.629312;15.591856;139.305755;286.140798;50.567864;
        Cantabria;13.700857;138.761105;41.327076;86.559606;364.337697;9.597954;22.467803;132.359784;331.452377;1296.14716;158.658136;25.228301;63.074689;0.0;38.625988;27.203228;26.222792;109.664791;11.470662;115.272965;39.589198;26.145303;30.094224;14.568862;13.591887;13.622501;76.722799;16.28763;25.303855;1117.463144;120.256845;64.444863;94.714389;23.371178;119.879676;133.104555;52.404678;82.47421;38.113355;117.64383;10.642766;78.000475;4.799939;52.46284;5.786196;41.8291;127.66027;127.362116;16.383485;69.002616;8.816999;2.941286;
        Castellón/Castelló;92.404402;373.865097;119.922296;47.067384;47.551829;5.723749;35.002225;246.713322;865.154058;63.535809;14.406144;27.291789;63.142622;32.05913;0.0;32.993941;38.970904;31.868702;42.507309;58.6346;107.832066;55.026599;21.242833;35.42083;65.227978;31.034247;26.368085;173.825527;16.273144;558.078823;109.896583;179.046132;67.398204;14.487974;10.549032;62.851071;36.893902;44.19752;18.449005;48.37868;1.88557;83.331738;13.544862;427.812536;147.248646;50.144085;1991.642406;28.879126;11.663135;217.094986;17.281463;4.876323;
        Ciudad Real;205.644441;471.727916;118.907581;28.145405;59.184603;23.462467;80.682926;163.386401;304.02164;50.265339;24.855815;43.651999;83.747381;18.467962;63.127194;0.0;161.814487;41.827697;119.247248;31.77153;46.247995;126.135287;98.862278;52.924407;15.578396;118.695565;25.253246;30.925166;8.575046;2337.798449;216.621077;234.427534;33.635287;5.802754;6.843298;72.063837;16.569422;30.932463;14.500389;49.449507;29.039551;130.225377;7.735454;65.116577;6.833096;522.563578;334.01853;47.824804;11.608637;62.868378;9.754116;6.788922;
        Córdoba;30.874732;166.162296;200.257091;21.486224;25.207447;8.763723;175.007744;356.125763;491.370601;31.036873;29.159799;48.608201;293.133264;29.20033;63.337541;128.708246;0.0;29.262452;33.442308;34.743471;62.343223;433.988437;27.263752;165.49145;27.136691;311.07543;14.651227;48.967407;7.784737;1140.435826;1475.879287;142.648829;47.456032;14.701494;2.902374;201.817916;20.392094;40.547453;11.622529;82.622386;19.554974;830.772954;10.624191;81.722885;4.848217;83.769958;174.570609;34.723236;4.819051;115.992843;45.890486;40.723599;
        Coruña, A;19.524491;199.884822;56.901677;47.672306;273.336195;12.62036;38.836216;257.74386;605.816279;126.480545;32.17601;24.428039;253.420048;96.478367;47.732272;23.399361;19.487573;0.0;7.617364;86.479014;56.156823;53.574306;52.648188;33.067824;4.85877;10.600168;179.756546;32.087716;863.627487;1632.416359;135.998118;234.346828;57.465016;378.162346;18.595426;465.08975;1638.493967;38.860761;44.794244;235.480148;9.698768;97.252296;12.634055;52.461022;9.757758;56.490547;184.024635;67.244755;31.186694;101.061228;15.615595;13.55956;
        Cuenca;372.148005;172.350152;37.720109;4.84795;15.41474;5.814627;21.26143;75.436713;191.815495;23.197908;15.438892;17.42445;26.264007;15.490793;51.28645;139.708319;24.073879;21.392145;0.0;24.023594;19.074513;26.076077;87.397738;29.482321;6.677238;14.350814;13.616327;28.605007;4.860312;1320.898726;48.179912;148.823507;17.250313;7.761116;5.83292;21.175503;6.76172;12.42155;9.687969;17.433823;17.144278;29.124231;2.846666;31.930855;17.382092;182.023759;730.350736;19.339096;4.843887;53.860744;1.907889;0.984703;
        Gipuzkoa;16.58254;144.111168;35.334399;422.547182;58.497664;8.814432;56.431258;91.06935;396.578249;909.596484;77.822367;50.810018;64.997551;84.441767;37.797035;17.506348;28.092694;81.589192;7.626903;0.0;50.963167;41.658694;13.546266;30.201075;35.051994;32.249942;26.382154;24.932973;17.508022;665.755198;106.70693;46.265338;623.54709;43.729767;30.264895;93.003851;57.39231;129.215446;75.03456;58.058195;15.580057;54.488548;14.57871;42.512591;5.804567;27.172173;127.672323;44.587168;26.201262;107.671123;9.706701;8.760823;
        Girona;22.361514;173.341633;145.9028;11.489541;76.741459;12.610134;60.502754;254.059263;6033.519753;53.910621;16.50735;29.081015;103.734922;35.994067;99.383544;15.482684;44.727824;59.188543;13.445029;56.738181;0.0;134.905715;32.927664;38.47351;59.623356;81.669512;33.974487;304.207216;15.431809;418.198655;229.359568;134.04397;75.103025;28.24588;3.871745;136.664788;43.757349;23.183339;22.431896;129.423425;8.61002;97.004398;8.745577;345.299896;25.037301;46.542319;181.269768;17.490919;19.30605;116.911056;14.462615;75.714413;
